"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT03"
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-14",,,,"79","91","70",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-15",,,,"64","70","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-16",,,,"62","73","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-17",,,,"57","65","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-18",,,,"55","59","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-19",,,,"57","67","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-20",,,,"64","76","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-21",,,,"62","77","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-22",,,,"55","61","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-23",,,,"57","65","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-24",,,,"56","65","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-25",,,,"55","61","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-26",,,,"57","69","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-27",,,,"55","60","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-28",,,,"56","67","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-29",,,,"58","70","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-30",,,,"65","78","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-31",,,,"73","81","67",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-01",,,,"75","86","70",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-02",,,,"65","73","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-03",,,,"57","67","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-04",,,,"58","65","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-05",,,,"63","77","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-06",,,,"63","71","57",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-07",,,,"61","71","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-08",,,,"57","64","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-09",,,,"55","57","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-10",,,,"55","62","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-11",,,,"55","65","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-12",,,,"60","72","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-13",,,,"69","82","61",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-14",,,,"71","81","64",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-15",,,,"69","75","65",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-16",,,,"66","73","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-17",,,,"69","76","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-18",,,,"69","74","65",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-19",,,,"71","81","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-20",,,,"70","76","66",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-21",,,,"69","76","61",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-22",,,,"70","79","64",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-23",,,,"67","73","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-24",,,,"68","79","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-25",,,,"61","69","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-26",,,,"53","60","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-27",,,,"52","59","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-28",,,,"54","66","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-29",,,,"55","64","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-11-30",,,,"59","70","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-01",,,,"57","66","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-02",,,,"52","54","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-03",,,,"48","54","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-04",,,,"50","54","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-05",,,,"53","59","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-06",,,,"56","65","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-07",,,,"58","65","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-08",,,,"55","60","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-09",,,,"56","64","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-10",,,,"61","65","57",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-11",,,,"60","68","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-12",,,,"55","66","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-13",,,,"51","61","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-14",,,,"55","64","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-15",,,,"54","60","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-16",,,,"50","58","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-17",,,,"49","57","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-18",,,,"50","54","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-19",,,,"57","66","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-20",,,,"62","69","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-21",,,,"67","80","57",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-22",,,,"64","73","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-23",,,,"68","76","57",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-24",,,,"69","77","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-25",,,,"55","66","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-26",,,,"51","57","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-27",,,,"54","61","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-28",,,,"54","60","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-29",,,,"55","60","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-30",,,,"55","63","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-12-31",,,,"51","55","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-01",,,,"50","53","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-02",,,,"51","54","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-03",,,,"49","57","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-04",,,,"59","62","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-05",,,,"61","63","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-06",,,,"68","72","64",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-07",,,,"60","64","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-08",,,,"60","70","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-09",,,,"58","62","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-10",,,,"58","66","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-11",,,,"57","67","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-12",,,,"60","68","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-13",,,,"57","70","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-14",,,,"48","52","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-15",,,,"46","55","40",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-16",,,,"50","59","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-17",,,,"56","66","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-18",,,,"49","52","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-19",,,,"49","55","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-20",,,,"51","61","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-21",,,,"53","62","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-22",,,,"53","58","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-23",,,,"55","62","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-24",,,,"60","65","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-25",,,,"52","61","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-26",,,,"49","56","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-27",,,,"50","60","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-28",,,,"52","61","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-29",,,,"54","63","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-30",,,,"54","63","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-01-31",,,,"53","62","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-01",,,,"59","67","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-02",,,,"62","71","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-03",,,,"67","76","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-04",,,,"61","70","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-05",,,,"67","74","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-06",,,,"63","68","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-07",,,,"65","72","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-08",,,,"68","76","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-09",,,,"70","77","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-10",,,,"64","73","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-11",,,,"68","76","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-12",,,,"69","75","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-13",,,,"70","76","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-14",,,,"60","68","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-15",,,,"50","57","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-16",,,,"46","57","40",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-17",,,,"44","54","39",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-18",,,,"42","49","37",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-19",,,,"42","49","36",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-20",,,,"44","53","37",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-21",,,,"49","60","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-22",,,,"54","66","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-23",,,,"60","69","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-24",,,,"56","66","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-25",,,,"58","70","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-26",,,,"61","73","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-27",,,,"51","60","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-02-28",,,,"52","58","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-01",,,,"50","62","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-02",,,,"49","58","40",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-03",,,,"46","51","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-04",,,,"47","60","39",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-05",,,,"50","65","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-06",,,,"47","50","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-07",,,,"50","57","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-08",,,,"51","60","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-09",,,,"49","57","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-10",,,,"41","46","35",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-11",,,,"38","41","34",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-12",,,,"40","48","33",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-13",,,,"45","55","36",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-14",,,,"47","58","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-15",,,,"49","59","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-16",,,,"50","59","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-17",,,,"47","52","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-18",,,,"46","55","39",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-19",,,,"48","55","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-20",,,,"45","52","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-21",,,,"46","53","38",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-22",,,,"52","63","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-23",,,,"60","74","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-24",,,,"62","73","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-25",,,,"54","60","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-26",,,,"55","67","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-27",,,,"53","63","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-28",,,,"46","48","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-29",,,,"48","54","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-30",,,,"50","59","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-03-31",,,,"47","52","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-01",,,,"51","58","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-02",,,,"52","66","41",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-03",,,,"53","56","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-04",,,,"49","56","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-05",,,,"47","54","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-06",,,,"51","61","42",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-07",,,,"52","64","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-08",,,,"52","59","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-09",,,,"52","63","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-10",,,,"50","57","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-11",,,,"51","58","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-12",,,,"56","68","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-13",,,,"63","81","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-14",,,,"53","57","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-15",,,,"52","61","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-16",,,,"52","58","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-17",,,,"53","64","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-18",,,,"60","71","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-19",,,,"65","76","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-20",,,,"64","74","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-21",,,,"57","70","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-22",,,,"49","56","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-23",,,,"48","52","43",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-24",,,,"53","64","44",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-25",,,,"52","61","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-26",,,,"52","61","46",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-27",,,,"55","66","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-28",,,,"54","61","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-29",,,,"56","62","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-04-30",,,,"61","72","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-01",,,,"60","72","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-02",,,,"54","59","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-03",,,,"53","57","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-04",,,,"53","59","48",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-05",,,,"55","66","45",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-06",,,,"54","64","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-07",,,,"59","70","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-08",,,,"60","70","51",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-09",,,,"58","68","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-10",,,,"64","76","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-11",,,,"67","78","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-12",,,,"60","73","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-13",,,,"60","73","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-14",,,,"65","76","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-15",,,,"63","76","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-16",,,,"63","77","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-17",,,,"66","74","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-18",,,,"63","78","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-19",,,,"64","79","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-20",,,,"63","76","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-21",,,,"59","71","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-22",,,,"56","68","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-23",,,,"61","72","49",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-24",,,,"73","85","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-25",,,,"70","79","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-26",,,,"59","68","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-27",,,,"59","69","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-28",,,,"64","77","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-29",,,,"67","78","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-30",,,,"72","84","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-05-31",,,,"75","88","61",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-01",,,,"75","86","65",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-02",,,,"77","88","65",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-03",,,,"83","94","74",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-04",,,,"82","94","62",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-05",,,,"67","79","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-06",,,,"66","78","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-07",,,,"64","78","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-08",,,,"65","77","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-09",,,,"61","72","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-10",,,,"62","74","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-11",,,,"60","68","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2006-06-12",,,,"61","72","51",,
